StockNo,VIN,Year,Make,Model,Trim,Condition,Mileage,InventorySince,AgeinDays,InternetPrice,MSRP,InvoicePrice,ExteriorColor,InteriorColor,Location,ShowroomTitle,Options,Type,Length,SleepingCapacity,FuelType,AirConditioners,Awnings,LevelingJacks,Serial.No,Status,LotName,Storename,LocationDescription
"19265B","1GCHC23D87F107146","2007","CHEVY","SILVERADO","2500 HD","USED","111262","08 NOV 16","624","0.00","0.00","22,493.66","","","LFT","2007 CHEVY SILVERADO 2500 HD","","OTHER","0","0","","0","NO","NO","","A","DEFUNIAK SPRINGS","DEFUNIAK SPRINGS",""
"19418A1","1GTHK23667F551632","2007","CHEVROLET","2500","Z71","USED","47238","27 SEP 16","666","0.00","25,000.00","26,707.32","","","HMD","2007 CHEVROLET 2500 Z71","","OTHER","0","0","","0","NO","NO","1GTHK23667F551632","A","HAMMOND","HAMMOND",""
"19653B","1GKKRNED9BJ268862","2011","GMC","ACADIA","ACADIA","USED","79340","31 DEC 16","571","0.00","12,000.00","13,781.39","","","HMD","2011 GMC ACADIA ACADIA","","OTHER","0","0","","0","NO","NO","","A","HAMMOND","HAMMOND",""
"20183D","4EZTL2221H8024169","2017","K-Z","CONNECT","221RD","USED","0","24 MAY 18","62","22,995.00","22,995.00","18,819.20","","","HMD","2017 K-Z CONNECT 221RD","","TRAVEL TRAILER","0","0","","0","NO","NO","4EZTL2221H8024169","A","HAMMOND","HAMMOND",""
"20202T","1FT7W2AT8BEA16471","2011","FORD","F250","XLT","USED","51437","20 FEB 17","520","0.00","25,000.00","25,000.00","","","HMD","2011 FORD F250 XLT","","OTHER","0","0","","0","NO","NO","1FT7W2AT8BEA16471","A","HAMMOND","HAMMOND",""
"20245","4UZACHCY0HCJK0558","2018","THOR","VENETIAN","G36","NEW","","22 MAY 17","429","199,995.00","321,350.00","213,728.38","BELLNI","PIRATES COVE","HMD","2018 THOR VENETIAN G36","HIGH GLOSS GLAZED PACIFIC CHER^^DIXIE","CLASS A MH","0","0","","0","NO","NO","NDW0G360112655","A","HAMMOND","HAMMOND",""
"20682A2","1FDWE35L76HA43384","2006","FORD","E350","BOX","USED","151000","25 MAR 17","487","0.00","0.00","5,472.00","","","HMD","2006 FORD E350 BOX","","OTHER","0","0","","0","NO","NO","1FDWE35L76HA43384","A","HAMMOND","HAMMOND",""
"21089B","8BRPE7DD6GE124128","2016","MERCEDES","SPRINTER","2500","USED","20139","19 AUG 17","340","0.00","0.00","30,926.16","","","HMD","2016 MERCEDES SPRINTER 2500","","OTHER","0","0","","0","NO","NO","","A","HAMMOND","HAMMOND",""
"21338","1F66F5DY3J0A02691","2018","THOR","MIRAMAR","35.3","NEW","2748","23 MAR 18","124","122,615.00","179,286.00","115,117.01","LAXQUER RED FBP","FALCON CREST","LFT","2018 THOR MIRAMAR 35.3","CABINETRY RESORT CHERRY HIGH G^^ELECTRIC FIREPLACE^^DIXIE^^EXTERIOR PAINT","CLASS A MH","0","0","","0","NO","NO","MAX03530024995","A","DEFUNIAK SPRINGS","DEFUNIAK SPRINGS",""
"21340","1F66F5DY2H0A17015","2018","THOR","MIRAMAR","34.2","NEW","898","18 DEC 17","219","120,600.00","173,443.00","111,583.02","CRIMSON QUARTZ","LUNAR ECLIPSE","LFT","2018 THOR MIRAMAR 34.2","CABINETRY RESORT CHERRY HIGH G^^EXTERIOR PAINT^^DIXIE","CLASS A MH","0","0","","0","NO","NO","MAX03420024854","A","DEFUNIAK SPRINGS","DEFUNIAK SPRINGS",""
"21341","1F66F5DY4J0A12338","2018","THOR","MIRAMAR","34.2","NEW","898","09 APR 18","107","120,600.00","175,318.00","112,935.08","SUN VALLEY","RIP TIDE","LFT","2018 THOR MIRAMAR 34.2","CABINETRY RESORT CHERRY HIGH G^^EXTERIOR PAINT^^DIXIE","CLASS A MH","0","0","","0","NO","NO","MAX03420025108","A","DEFUNIAK SPRINGS","DEFUNIAK SPRINGS",""
"21351A","4V0FC3526FR004917","2015","RUSHMORE","RUSHMORE","SPRINGFIELD","USED","0","28 JUN 18","27","0.00","44,995.00","31,285.58","","","ABB","2015 RUSHMORE RUSHMORE SPRINGF","","5TH WHEEL","0","0","","0","NO","NO","4V0FC3526FR004917","A","ACADIANA","ACADIANA",""
"21352","5KEAG4229J1345921","2018","DRV","MOBILE SUITES","MSA40","NEW","","28 MAR 17","484","79,995.00","132,330.00","89,084.99","AUBURN SWIRL PARTIAL PAINT","COBBLESTONE","LFT","2018 DRV MOBILE SUITES MSA40","MOBILE SUITES AIRE^^MOCHA CHERRY^^PEBBLED LEATHER FURN^^FLOORING TARKETT WEATHERED CHE^^DUAL PANE FRAMELESS WINDOW UPG^^HEAT PUMP^^3RD DUCTED AC^^POWER DINETTE AWNING^^GENERATOR PREP^^DYSON CORDLESS VAC^^MAX AIR FAN W/ RAIN SENSOR^^22' GAS OVEN^^HAND LAID TILE^^KING BED^^POWER MANAGEMENT SYSTEM^^POWER CORD REEL^^WINTERIZATION^^RIVIA^^DIXIE","5TH WHEEL","40","0","","0","YES","NO","J1345921","A","DEFUNIAK SPRINGS","DEFUNIAK SPRINGS",""
"21353","5KEAG4025J1348897","2018","DRV","MOBILE SUITES","MSA38","NEW","","15 MAY 17","436","78,995.00","128,634.00","83,983.95","AUBURN SWIRL PARTIAL PAINT","COBBLESTONE","LFT","2018 DRV MOBILE SUITES MSA38","MOBILE SUITES AIRE^^MOCHA CHERRY^^LIMESTONE LEATHER FURN^^FLOORING TARKETT WEATHERED CHE^^DUAL PANE FRAMELESS WINDOW UPG^^HEAT PUMP^^POWER DINETTE AWNING^^GENERATOR PREP^^DYSON CORDLESS VAC^^MAX AIR FAN^^22' GAS OVEN^^HAND LAID TILE^^KING BED^^POWER MANAGEMENT SYSTEM^^POWER CORD REEL^^WINTERIZATION^^RIVIA^^DIXIE","5TH WHEEL","38","0","","0","YES","NO","J1348897","A","DEFUNIAK SPRINGS","DEFUNIAK SPRINGS",""
"21526","1F65F5DY1J0A06458","2018","THOR","HURRICANE","31Z","NEW","683","16 NOV 17","251","89,995.00","135,310.00","86,923.64","RUBY RED","STERLING MIST II","CLE","2018 THOR HURRICANE 31Z","MALIBU MAPLE CABINETRY^^DUAL 13.5 A/C^^FUEL SURCHARGE^^DIXIE","CLASS A MH","31","0","","0","NO","NO","1F65F5DY1J0A06458","A","CALERA","CALERA",""
"21536","1FC4E4KS0HDC75428","2018","THOR","AXIS","25.5","NEW","728","21 NOV 17","246","72,995.00","116,983.00","75,366.41","EMBER GLOW","HARBOR SHORES II","CLE","2018 THOR AXIS 25.5","BEECHWOOD CABINETRY^^HOLDING TANKS^^DIXIE","CLASS A MH","25","0","","0","NO","NO","XSF02550006957","A","CALERA","CALERA",""
"21541","1F66F5DY0J0A11879","2018","THOR","CHALLENGER","37TB","NEW","704","05 APR 18","111","132,995.00","197,825.00","125,559.13","NASSAU","BAY BREEZE","CLE","2018 THOR CHALLENGER 37TB","CABINETRY PACIFIC HI GLOSS GLA^^DIXIE","CLASS A MH","37","0","","0","NO","NO","CHX37TB0025115","A","CALERA","CALERA",""
"22185","573FS4228J1109062","2018","GRAND DESIGN","SOLITUDE","384GK-R","NEW","","14 JUN 17","406","69,995.00","90,651.00","58,617.03","","LINEN","HMD","2018 GRAND DESIGN SOLITUDE 384","SOLITUDE RESIDENTIAL LIVING PA^^ROLLER SHADES^^SOLID STEP QUAD ENTRY STEPS^^KEYED A LIKE^^30000 BTU STEALTH A/C SYSTEM^^SOLITUDE PEACE OF MIND PACKAGE^^G RANGE TIRES^^SOLITUDE WEATHER TEX PACKAGE^^SOLITUDE MAX BUILT CONSTRUCTIO^^LINEN DECOR UPGRADE^^18 CUBIC FOOT RESIDENTIAL REFE^^TV BEDROOM^^ELECTRIC FIREPLACE^^12V TANK HEATERS^^6 POINT HYDRAULIC LEVELING SYS^^CONVECTION MICROWAVE^^HEAT PUMP A/C^^SILDE OUT AWING 4 SIDE^^RVIA SEAL^^DIXIE","5TH WHEEL","38","0","","0","NO","NO","J1109062","A","HAMMOND","HAMMOND",""
"22188A","4YDT27R20H1531626","2017","KEYSTONE RV","SPRINTER CAMPFIRE EDITION","27RL","USED","0","31 MAR 18","116","24,913.00","24,913.00","20,819.26","","","ABB","2017 KEYSTONE RV SPRINTER CAMPRL","","TRAVEL TRAILER","0","0","","0","NO","NO","4YDT27R20H1531626","A","ACADIANA","ACADIANA",""
"22229B","5SFSG3124HE321962","2017","HEARTLAND","SUNDANCE","285TS","USED","0","22 MAY 18","64","27,415.00","33,995.00","20,920.11","","","CLE","2017 HEARTLAND SUNDANCE 285TS","","5TH WHEEL","0","0","","0","NO","NO","5SFSG3124HE321962","A","CALERA","CALERA",""
"22231","1F66F5DY9H0A15827","2018","HOLIDAY RAMBLER","VACATIONER","36H","NEW","2056","25 MAY 17","426","119,995.00","186,858.00","124,793.85","MALIBU","KONA GROVE/DK CHRY GLOSS","ABB","2018 HOLIDAY RAMBLER VACATIONE","REAR LADDER^^WASHER/DRYER^^RAIN VENT RAIN COVER^^KING BED","CLASS A MH","36","0","","0","NO","NO","623HJ4426941","A","ACADIANA","ACADIANA",""
"22348A","1F65F5DYXH0A02872","2017","THOR","ACE","30.1","USED","10512","24 JAN 18","182","76,756.00","101,250.00","65,760.29","","","CLE","2017 THOR ACE 30.1","","CLASS A MH","0","0","","0","NO","NO","","A","CALERA","CALERA",""
"22473","5ZT3SN3B8JG702897","2018","PRIME TIME","SANIBEL","3751","NEW","","19 JUL 17","371","48,995.00","77,682.50","46,826.42","","TOFFEE","CLE","2018 PRIME TIME SANIBEL 3751","SANIBEL ADVANTAGE PACKAGE^^SANIBEL PEACE OF MIND WARRANTY^^G RATED TIRES W/ALUMINUM RIMS^^RVIA^^DIXIE","5TH WHEEL","37","0","","0","NO","NO","SNG702897","A","CALERA","CALERA",""
"22511B","4YDT26728HT412790","2017","KEYSTONE","PASSPORT","2670BH","USED","","21 MAY 18","65","19,995.00","19,995.00","15,866.00","","","ABB","2017 KEYSTONE PASSPORT 2670BH","","TRAVEL TRAILER","0","0","","0","NO","NO","","A","ACADIANA","ACADIANA",""
"22524","573FS4223J1109356","2018","GRAND DESIGN","SOLITUDE","384GK","NEW","","06 JUL 17","384","69,995.00","88,586.00","58,088.57","","LINEN","HMD","2018 GRAND DESIGN SOLITUDE 384","SOLITUDE RESIDENTIAL LIVING PA^^ROLLER SHADES^^SOLID STEP QUAD ENTRY STEPS^^KEYED A LIKE^^30000 BTU STEALTH A/C SYSTEM^^SOLITUDE PEACE OF MIND PACKAGE^^G RANGE TIRES^^SOLITUDE WEATHER TEX PACKAGE^^SOLITUDE MAX BUILT CONSTRUCTIO^^LINEN DECOR UPGRADE^^18 CU FT REFER^^TV BEDROOM^^ELECTRIC FIREPLACE^^12V TANK HEATERS^^6 POINT HYDRAULIC LEVELING SYS^^CONVECTION MICROWAVE^^HEAT PUMP A/C^^RVIA SEAL^^DIXIE","5TH WHEEL","38","0","","0","NO","NO","J1109356","A","HAMMOND","HAMMOND",""
"22547","4YDF3652XJE780251","2018","KEYSTONE RV","ALPINE","3650RL","NEW","","24 JUL 17","366","56,995.00","82,405.00","56,555.16","","FOREST FLOOR","HMD","2018 KEYSTONE RV ALPINE 3650RL","ALPS PACKAGE^^WHISPER AIR DELUXE^^DISHWASHER^^CORDLESS VACUUM^^COMMAND SMART AUTOMATION SYSTE^^G RANGE TIRES^^TRAIL AIR PIN BOX^^18 CUBIC FOOT 4 DOOR REF^^HEAT PUMP^^6 POINT HYDRAULIC AUTO LEVELIN^^RVIA SEAL^^DIXIE","5TH WHEEL","35","0","","0","NO","NO","JE780251","A","HAMMOND","HAMMOND",""
"22607A1","4YDF41239GR800309","2016","KEYSTONE","RAPTOR","412 TS","USED","0","22 MAY 18","64","59,613.00","59,613.00","42,819.79","","","ABB","2016 KEYSTONE RAPTOR 412 TS","","5TH WHEEL TOY HAULER","0","0","","0","NO","NO","4YDF41239GR800309","A","ACADIANA","ACADIANA",""
"22638A","4YDF34925DE780225","2013","KEYSTONE RV","ALPINE WHOLESALE","3495FL WHOLESALE","USED","0","13 JUN 18","42","29,995.00","29,995.00","23,000.00","","","HMD","2013 KEYSTONE RV ALPINE WHOLESESALE","","5TH WHEEL","0","0","","0","NO","NO","4YDF34925DE780225","A","HAMMOND","HAMMOND",""
"22640B","4YTD27D26E7203711","2014","KEYSTONE RV","HIDEOUT","27DBS","USED","0","23 JUN 18","32","15,995.00","15,995.00","11,080.00","","","HMD","2014 KEYSTONE RV HIDEOUT 27DBS","","TRAVEL TRAILER","0","0","","0","NO","NO","4YTD27D26E7203711","A","HAMMOND","HAMMOND",""
"22641A","1F65F5DY5H0A01421","2017","WINNEBAGO","VISTA","29VE","USED","8931","02 JUL 18","23","82,995.00","111,360.00","61,450.79","","","LFT","2017 WINNEBAGO VISTA 29VE","","CLASS A MH","0","0","","0","NO","NO","","A","DEFUNIAK SPRINGS","DEFUNIAK SPRINGS",""
"22642","4YDF26826JV600620","2018","KEYSTONE RV","LAREDO","268SRL","NEW","","10 JUL 17","380","29,995.00","49,415.00","32,246.26","","MADURO","LFT","2018 KEYSTONE RV LAREDO 268SRL","LIFE SIZE PACKAGE^^50' RESIDENTIAL SHOWER^^39' LED TV^^8 CUBIC FOOT LARGE REFRIGERATO^^50 AMP SERVICE^^BLACK LABEL EDITION^^EQUA FLEX SUSPENSION^^HYBRID ALUMINUM STEP^^SOLID SURFACE COUNTERTOP^^FRAMELESS TINTED WINDOWS^^ELECTRIC LEVELING SYSTEM^^PAINTED FRONT CAP^^2 DELUXE RECLINERS^^15 BTU A/C DUCTED^^CARBON MONOXIDE DETECTOR^^2ND AC^^FREE STANDING DINETTE AND CHAI^^RVIA SEAL^^DIXIE^^FUEL SURCHARGE","5TH WHEEL","26","0","","0","NO","NO","JV600620","A","DEFUNIAK SPRINGS","DEFUNIAK SPRINGS",""
"22727","5SFNB2524JE362288","2018","HEARTLAND","SUNDANCE","221RB","NEW","","14 AUG 17","345","20,995.00","31,251.00","20,319.79","","ADLER","CLE","2018 HEARTLAND SUNDANCE 221RB","ULTRALIGHT EXTERIOR PACKAGE^^CAMPING IN COMFORT PACKAGE^^POWER TONGUE JACK^^15000 A/C^^RVIA SEAL^^DIXIE","TRAVEL TRAILER","22","0","","0","NO","NO","JE362288","A","CALERA","CALERA",""
"22733","5SFNB312XJE359682","2018","HEARTLAND","SUNDANCE","292BH","NEW","","20 JUL 17","370","24,995.00","39,485.00","26,911.13","","FAIRMONT","LFT","2018 HEARTLAND SUNDANCE 292BH","ULTRALIGHT EXTERIOR PACKAGE^^CAMPING IN COMFORT PACKAGE^^POWER TONGUE JACK^^39' LED TV^^15000 A/C^^50 AMP SERVICE^^2ND AC^^RVIA SEAL^^DIXIE","TRAVEL TRAILER","29","0","","0","NO","NO","JE359682","A","DEFUNIAK SPRINGS","DEFUNIAK SPRINGS",""
"22738","5SFNB3120JE362347","2018","HEARTLAND","SUNDANCE","291QB","NEW","","07 AUG 17","352","22,995.00","35,684.00","24,152.55","","LANCASTER","LFT","2018 HEARTLAND SUNDANCE 291QB","ULTRALIGHT EXTERIOR PACKAGE^^CAMPING IN COMFORT PACKAGE^^POWER TONGUE JACK^^15000 A/C^^50 AMP SERVICE^^RVIA SEAL^^DIXIE","TRAVEL TRAILER","29","0","","0","NO","NO","JE362347","A","DEFUNIAK SPRINGS","DEFUNIAK SPRINGS",""
"22769","5SFNB2529JE358902","2018","HEARTLAND","SUNDANCE","221RB","NEW","","04 JUL 17","386","20,995.00","32,566.00","21,530.88","","LANCASTER","ABB","2018 HEARTLAND SUNDANCE 221RB","ULTRALIGHT EXTERIOR PACKAGE^^CAMPING IN COMFORT PACKAGE^^39' LED TV^^15000 A/C^^RVIA SEAL^^DIXIE","TRAVEL TRAILER","22","0","","0","NO","NO","JE358902","A","ACADIANA","ACADIANA",""
"22782A","5KDBE30266L003320","2006","FRONTIER","EXPLORER","30","USED","0","04 JUL 18","21","0.00","0.00","500.00","","","ABB","2006 FRONTIER EXPLORER 30","","TRAVEL TRAILER","0","0","","0","NO","NO","5KDBE30266L003320","A","ACADIANA","ACADIANA",""
"22784","5SFNB3123JE359684","2018","HEARTLAND","SUNDANCE","292BH","NEW","","17 JUL 17","373","24,995.00","39,735.00","26,632.71","","FAIRMONT","ABB","2018 HEARTLAND SUNDANCE 292BH","ULTRALIGHT EXTERIOR PACKAGE^^CAMPING IN COMFORT PACKAGE^^POWER TONGUE JACK^^39' LED TV^^15000 A/C^^50 AMP SERVICE^^2ND AC^^RVIA SEAL^^DIXIE","TRAVEL TRAILER","29","0","","0","NO","NO","JE359684","A","ACADIANA","ACADIANA",""
"22822","WDAPF4CD6HP501872","2018","AIRSTREAM","INTERSTATE","3500GT TB","NEW","36","24 AUG 17","335","0.00","177,135.00","139,745.25","","TOMMY BAHAMA","CLE","2018 AIRSTREAM INTERSTATE 3500","EXTERIOR-BLACK GT TB^^COMFORT CONVENIENCE^^DIXIE","CLASS B MH","35","0","","0","NO","NO","1B9GUWH21JJ305960","A","CALERA","CALERA",""
"22825","WDAPF4CD3HP390293","2018","AIRSTREAM","INTERSTATE","3500EXT","NEW","69","06 JUL 17","384","0.00","175,972.00","142,144.41","SILVER","COLUMBIAN WALNUT","CLE","2018 AIRSTREAM INTERSTATE 3500","EXTERIOR-SILVER^^OYSTER ULTRALEATHER^^REAR AIR SUSPENSION^^COMFORT CONVENIENCE^^DIXIE","CLASS B MH","35","0","","0","NO","NO","1B9HUWH22JJ305843","A","CALERA","CALERA",""
"22858","573FR3328J3314874","2018","GRAND DESIGN","REFLECTION","303RLS","NEW","","24 JUL 17","366","46,995.00","54,560.00","39,018.02","","CAPPUCCINO","LFT","2018 GRAND DESIGN REFLECTION 3","REFLECTION PEACE OF MIND PACKA^^REFLECTION ULTIMATE POWER PACK^^REFLECTION ARCTIC 4 SEASONS PA^^2' RECEIVER HITCH^^2ND AWNING^^FREE STANDING TABLE AND CHAIRS^^2AC^^RVIA SEAL^^DIXIE","5TH WHEEL","30","0","","0","YES","NO","J3314874","A","DEFUNIAK SPRINGS","DEFUNIAK SPRINGS",""
"22876","1UJCJ0BV3J1LW0068","2018","JAYCO","NORTH POINT","379DBFS","NEW","","07 AUG 17","352","59,995.00","89,020.00","58,217.54","","CASHMERE","ABB","2018 JAYCO NORTH POINT 379DBFS","CUSTOMER VL PKG A/C W/HT PUMP^^NORTH POINT LUXURY PACKAGE^^BED, KING^^BED, BUNK W/ HIDE-A-BED ODS^^MICROWAVE, CONVECTION W/OVEN^^TABLE, FREESTANDING W/ 4 CHAIR^^SANICON DUMP SYSTEM^^HITCH, ACCESSORY RECEIVER^^DIXIE","5TH WHEEL","37","0","","0","NO","NO","J1LW0068","A","ACADIANA","ACADIANA",""
"22897","1UJCJSBU6J18A0072","2018","JAYCO","TALON","313T","NEW","0","26 JUN 17","394","42,995.00","73,267.00","45,792.17","","WALNUT","ABB","2018 JAYCO TALON 313T","CUSTOMER VALUE PACKAGE^^GENERATOR^^A/C 15000^^DECK PARTY W FOLING RAILS^^EXTREME WEATHER PACKAGE^^DIXIE","5TH WHEEL TOY HAULER","31","0","","0","NO","NO","J18A0072","A","ACADIANA","ACADIANA",""
"22905","1UJBJ0AH1J13C0140","2018","JAYCO","HUMMINGBIRD","17RB","NEW","","21 JUL 17","369","17,995.00","26,265.00","17,645.65","","COCOA","ABB","2018 JAYCO HUMMINGBIRD 17RB","CUSTOMER VALUE PACKAGE^^TV 24' LED^^A/C 13.5L BTU LOW PROFILE^^BAJA PACKAGE^^UNDERBELLY, ENCLOSED W. INSUL^^JACK, TONGUE ELECTRIC^^GRILL EXTERIOR^^","TRAVEL TRAILER","17","0","","0","NO","NO","J13C0140","A","ACADIANA","ACADIANA",""
"22906","1UJBJ0AH5J13C0139","2018","JAYCO","HUMMINGBIRD","17RB","NEW","","21 JUL 17","369","17,995.00","26,265.00","17,606.88","","SADDLE","ABB","2018 JAYCO HUMMINGBIRD 17RB","CUSTOMER VALUE PACKAGE^^TV 24' LED^^BAJA PACKAGE^^UNDERBELLY, ENCLOSED W. INSUL^^JACK, TONGUE ELECTRIC^^GRILL EXTERIOR^^^^A/C 13.5L BTU LOW PROFILE","TRAVEL TRAILER","17","0","","0","NO","NO","J13C0139","A","ACADIANA","ACADIANA",""
"22920","4YDF28127J7244057","2018","KEYSTONE RV","HIDEOUT","281DBS","NEW","","11 AUG 17","348","25,995.00","38,047.00","25,060.00","","TIMBER","ABB","2018 KEYSTONE RV HIDEOUT 281DB","PLATINUM PACKAGE^^HIDEOUT LUXURY PACKAGE^^COLD MOUNTAIN PACKAGE^^CENTRAL VACUUM^^ELECTRIC REAR STABLIZER JACKS^^15.0 BTU AIR CONDITIONER-DUCTE^^ALUMINUM WHEELS^^15' SPARE TIRE KIT^^50 AMP SERVICE/WIRE AND BRACE^^2ND A/C^^EXTERIOR LADDER^^RVIA SEAL^^DIXIE","5TH WHEEL","28","0","","1","NO","NO","J7244057","A","ACADIANA","ACADIANA",""
"23021","1F66F5DY2J0A00950","2018","FLEETWOOD RV","SOUTHWIND","35K","NEW","1069","09 AUG 17","350","117,995.00","186,579.00","123,585.86","","SILVER LINING","HMD","2018 FLEETWOOD RV SOUTHWIND 35","REAR LADDER^^KING DOME SATELLITE SYSTEM^^PREMIUM RADIO UPGRADE^^ROOF VENT RAIN COVER^^PLAR EXTERIOR","CLASS A MH","35","0","","0","NO","NO","721KJ4428002","A","HAMMOND","HAMMOND",""
"23027","4UZACWFC5JCJT4191","2018","FLEETWOOD RV","PACE ARROW LXE","38B","NEW","981","11 AUG 17","348","179,995.00","269,413.00","179,275.64","","SPICED JAVA","ABB","2018 FLEETWOOD RV PACE ARROW L","KING DOME SATELLITE SYSTEM^^ROOF VENT RAIN COVERS^^ECLIPSE EXT","CLASS A MH","38","0","","0","NO","NO","756BJ4427738","A","ACADIANA","ACADIANA",""
"23037A","5ZT3CS1B3CB111147","2012","PRIME TIME","CRUSADER","355 BHQ","USED","0","16 JUN 18","39","0.00","21,000.00","14,000.00","","","ABB","2012 PRIME TIME CRUSADER 355 B","","5TH WHEEL","0","0","","0","NO","NO","5ZT3CS1B3CB111147","A","ACADIANA","ACADIANA",""
"23183A1","3C63RRJL2HG650883","2017","DODGE","RAM","3500","USED","7836","10 JUL 18","15","51,500.00","51,500.00","50,000.00","","","HMD","2017 DODGE  RAM 3500","","OTHER","0","0","","0","NO","NO","3C63RRJL2HG650883","A","HAMMOND","HAMMOND",""
"23185A","4UZAB2DJ87CZ13252","2007","GULFSTREAM","TOURMASTER","40C","USED","70985","28 JUN 18","27","79,995.00","110,200.00","58,000.00","","","LFT","2007 GULFSTREAM TOURMASTER 40C","","CLASS A MH","0","0","","0","NO","NO","","A","DEFUNIAK SPRINGS","DEFUNIAK SPRINGS",""
"23214","1UJCJSCV3J19M0057","2018","JAYCO","SEISMIC","4114","NEW","","04 AUG 17","355","74,113.00","114,535.00","70,255.10","","GODIVA","ABB","2018 JAYCO SEISMIC 4114","SEISMIC CVP PKG W/ AC&HEAT PUM^^A/C 15000 DROP IN CARGO^^REFRIG, RESIDENTIAL 21CF^^DECK, PARTY FLD RAIL, EL AWN &^^SANICON DUMP SYSTEM^^WALL, THREE SEASON GARAGE^^EXTREME WEATHER PACKAGE^^","5TH WHEEL TOY HAULER","41","0","","0","NO","NO","J19M0057","A","ACADIANA","ACADIANA",""
"23218","1F65F5DY1J0A01342","2018","FLEETWOOD RV","FLAIR","30U","NEW","1042","01 AUG 17","358","84,995.00","136,813.00","91,357.33","ROYAL","RUM RAISIN/NTTHM CHERRY","ABB","2018 FLEETWOOD RV FLAIR 30U","KING DOME SATELLITE SYSTEM^^RESIDENTIAL REFER^^DRIVER/PASSENGER CENTER TABLE^^ROYAL EXTERIOR^^LXE PACKAGE","CLASS A MH","30","0","","0","NO","NO","732UJ4427896","A","ACADIANA","ACADIANA",""
"23253","4UZFCGFE5JCJT7332","2018","AMERICAN COACH","REVOLUTION","42P","NEW","978","11 AUG 17","348","279,995.00","478,149.00","294,396.59","","LUXE TRUFFLE/CHESTNUT H GLOSS","HMD","2018 AMERICAN COACH REVOLUTION","SATELLITE DISH WINEGARD IN MOT^^HIGH GLOSS WOOD^^BLACK SUNSTONE EXT^^EMERGENCY EXIT DOOR","CLASS A MH","42","0","","0","NO","NO","781PJ4427831","A","HAMMOND","HAMMOND",""
